p,gamma,shots,L,N,epochs,lr,seed,train_mse
0.0,0.0,1000,4,128,60,0.01,0,0.02568669058382511
0.0,0.001,1000,4,128,60,0.01,0,0.032537687569856644
0.0,0.01,1000,4,128,60,0.01,0,0.09397358447313309
0.001,0.0,1000,4,128,60,0.01,0,0.060179561376571655
0.001,0.001,1000,4,128,60,0.01,0,0.010374961420893669
0.001,0.01,1000,4,128,60,0.01,0,0.10646027326583862
0.01,0.0,1000,4,128,60,0.01,0,0.16276177763938904
0.01,0.001,1000,4,128,60,0.01,0,0.03392209857702255
0.01,0.01,1000,4,128,60,0.01,0,0.005342964548617601
